"artifact","moduleUrl","moduleLicense","moduleLicenseUrl",
"org.apache.tomcat.embed:tomcat-embed-el:10.1.5","https://tomcat.apache.org/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.apache.xmlgraphics:xmlgraphics-commons:2.7","http://xmlgraphics.apache.org/commons/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.aspectj:aspectjweaver:1.9.19","https://www.eclipse.org/aspectj/","Eclipse Public License - v 2.0","https://www.eclipse.org/org/documents/epl-2.0/EPL-2.0.txt",
"org.bitbucket.b_c:jose4j:0.7.8","https://bitbucket.org/b_c/jose4j/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.bouncycastle:bcpkix-jdk15on:1.69","https://www.bouncycastle.org/java.html","Bouncy Castle Licence","https://www.bouncycastle.org/licence.html",
"org.bouncycastle:bcprov-ext-jdk15on:1.69","https://www.bouncycastle.org/java.html","Bouncy Castle Licence","https://www.bouncycastle.org/licence.html",
"org.bouncycastle:bcprov-jdk15on:1.70","https://www.bouncycastle.org/java.html","Bouncy Castle Licence","https://www.bouncycastle.org/licence.html",
"org.bouncycastle:bcutil-jdk15on:1.69","https://www.bouncycastle.org/java.html","Bouncy Castle Licence","https://www.bouncycastle.org/licence.html",
"org.checkerframework:checker-qual:3.27.0","https://checkerframework.org","MIT License","https://opensource.org/licenses/MIT",
"org.codehaus.woodstox:stax2-api:4.2.1","http://github.com/FasterXML/stax2-api","The 2-Clause BSD License","https://opensource.org/licenses/BSD-2-Clause",
"org.docx4j:docx4j-JAXB-MOXy:11.4.9","http://www.docx4java.org/docx4j-JAXB-MOXy/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.docx4j:docx4j-core:11.4.9","http://www.docx4java.org/docx4j-core/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.docx4j:docx4j-openxml-objects:11.4.9","http://www.docx4java.org/docx4j-openxml-objects/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.docx4j:docx4j-openxml-objects-pml:11.4.9","http://www.docx4java.org/docx4j-openxml-objects-pml/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.docx4j:docx4j-openxml-objects-sml:11.4.9","http://www.docx4java.org/docx4j-openxml-objects-sml/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.docx4j.org.apache:xalan-interpretive:11.0.0","http://xml.apache.org/xalan-j/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.docx4j.org.apache:xalan-serializer:11.0.0","http://xml.apache.org/xalan-j/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.eclipse.angus:angus-activation:1.0.0","https://www.eclipse.org","GNU GENERAL PUBLIC LICENSE, Version 2 + Classpath Exception","https://openjdk.java.net/legal/gplv2+ce.html",
"org.eclipse.persistence:org.eclipse.persistence.asm:9.1.0","http://www.eclipse.org/eclipselink","PUBLIC DOMAIN","https://opensource.org/licenses/CDDL-1.0",
"org.eclipse.persistence:org.eclipse.persistence.core:3.0.2","http://www.eclipse.org/eclipselink","PUBLIC DOMAIN","https://opensource.org/licenses/CDDL-1.0",
"org.eclipse.persistence:org.eclipse.persistence.moxy:3.0.2","http://www.eclipse.org/eclipselink","PUBLIC DOMAIN","https://opensource.org/licenses/CDDL-1.0",
"org.flywaydb:flyway-core:9.16.1",,"Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.freehep:freehep-graphics2d:2.4",,"GNU LESSER GENERAL PUBLIC LICENSE, Version 2.1","https://www.gnu.org/licenses/lgpl-2.1",
"org.freehep:freehep-graphicsbase:2.4",,"GNU LESSER GENERAL PUBLIC LICENSE, Version 2.1","https://www.gnu.org/licenses/lgpl-2.1",
"org.freehep:freehep-graphicsio:2.4",,"GNU LESSER GENERAL PUBLIC LICENSE, Version 2.1","https://www.gnu.org/licenses/lgpl-2.1",
"org.freehep:freehep-graphicsio-emf:2.4",,"GNU LESSER GENERAL PUBLIC LICENSE, Version 2.1","https://www.gnu.org/licenses/lgpl-2.1",
"org.freehep:freehep-graphicsio-tests:2.4",,"GNU LESSER GENERAL PUBLIC LICENSE, Version 2.1","https://www.gnu.org/licenses/lgpl-2.1",
"org.freehep:freehep-io:2.2.2","http://freehep.github.com/freehep-io","GNU LESSER GENERAL PUBLIC LICENSE, Version 2.1","https://www.gnu.org/licenses/lgpl-2.1",
"org.glassfish.jaxb:jaxb-core:4.0.1","https://www.eclipse.org","PUBLIC DOMAIN",,
"org.glassfish.jaxb:jaxb-runtime:4.0.1","https://www.eclipse.org","PUBLIC DOMAIN",,
"org.glassfish.jaxb:txw2:4.0.1","https://eclipse-ee4j.github.io/jaxb-ri/","PUBLIC DOMAIN",,
"org.hamcrest:hamcrest:2.2","http://hamcrest.org/JavaHamcrest/","The 3-Clause BSD License","https://opensource.org/licenses/BSD-3-Clause",
"org.hamcrest:hamcrest-core:2.2","http://hamcrest.org/JavaHamcrest/","The 3-Clause BSD License","https://opensource.org/licenses/BSD-3-Clause",
"org.hdrhistogram:HdrHistogram:2.1.12","http://hdrhistogram.github.io/HdrHistogram/","The 2-Clause BSD License","https://opensource.org/licenses/BSD-2-Clause",
"org.hibernate.common:hibernate-commons-annotations:6.0.2.Final","http://hibernate.org","GNU LESSER GENERAL PUBLIC LICENSE, Version 2.1","https://www.gnu.org/licenses/lgpl-2.1",
"org.hibernate.orm:hibernate-core:6.1.6.Final","https://www.hibernate.org/orm/6.1","GNU LESSER GENERAL PUBLIC LICENSE, Version 2.1","https://www.gnu.org/licenses/lgpl-2.1",
"org.hibernate.validator:hibernate-validator:8.0.0.Final",,"Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.jboss:jandex:2.4.2.Final","http://www.jboss.org","PUBLIC DOMAIN","http://repository.jboss.org/licenses/cc0-1.0.txt",
"org.jboss.logging:jboss-logging:3.5.0.Final","http://www.jboss.org","PUBLIC DOMAIN","http://repository.jboss.org/licenses/cc0-1.0.txt",
"org.jetbrains:annotations:13.0","http://www.jetbrains.org","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.jetbrains.kotlin:kotlin-bom:1.7.21",,,,
"org.jetbrains.kotlin:kotlin-reflect:1.7.0","https://kotlinlang.org/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.jetbrains.kotlin:kotlin-stdlib:1.7.0","https://kotlinlang.org/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.jetbrains.kotlin:kotlin-stdlib-common:1.7.0","https://kotlinlang.org/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.jetbrains.kotlin:kotlin-stdlib-jdk7:1.7.0","https://kotlinlang.org/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.jetbrains.kotlin:kotlin-stdlib-jdk8:1.7.0","https://kotlinlang.org/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.jsoup:jsoup:1.15.4","https://jsoup.org/","MIT License","https://opensource.org/licenses/MIT",
"org.junit:junit-bom:5.9.2",,,,
"org.junit.jupiter:junit-jupiter:5.9.2","https://junit.org/junit5/","Eclipse Public License - v 2.0","https://www.eclipse.org/org/documents/epl-2.0/EPL-2.0.txt",
